Name,API_Name,Memory_GB,vCPUs,Compute_Contract_Price,On_Demand_Cost_Hourly,Hourly_DBUs,GPUs,GPU_Model,GPU_Memory_GB,Physical_Processor,Clock_Speed_GHz,Instance_Storage,Network_Performance,EBS_Optimized_Max_Bandwidth_Mbps,EBS_Optimized_Max_Throughput_128K_Mbps,EBS_As_NVMe,Enhanced_Networking,Linux_Reserved_Cost_Hourly,EBS_Optimized_Surcharge_Hourly
I3 High I/O Large,i3.large,15.25,2,0.156,0.156,0.75,0,None,0,Intel Xeon E5-2686 v4 (Broadwell),2.3,475 GiB NVMe SSD,Up to 10 Gigabit,425,53.13,FALSE,TRUE,0.107,0
I3 High I/O Extra Large,i3.xlarge,30.5,4,0.312,0.312,1,0,None,0,Intel Xeon E5-2686 v4 (Broadwell),2.3,950 GiB NVMe SSD,Up to 10 Gigabit,850,106.25,FALSE,TRUE,0.214,0
I3EN 12xlarge,i3en.12xlarge,384,48,5.424,5.424,17.4,0,None,0,Intel Xeon Platinum 8175,3.1,30000 GiB (4 * 7500 GiB NVMe SSD),50 Gigabit,7000,875,TRUE,TRUE,3.694,0
I3EN 24xlarge,i3en.24xlarge,768,96,10.848,10.848,34.8,0,None,0,Intel Xeon Platinum 8175,3.1,60000 GiB (8 * 7500 GiB NVMe SSD),100 Gigabit,14000,1750,TRUE,TRUE,7.388,0
I3EN Double Extra Large,i3en.2xlarge,64,8,0.904,0.904,2.9,0,None,0,Intel Xeon Platinum 8175,3.1,5000 GiB (2 * 2500 GiB NVMe SSD),Up to 25 Gigabit,3500,437.5,TRUE,TRUE,0.616,0
I3EN 3xlarge,i3en.3xlarge,96,12,1.356,1.356,4.35,0,None,0,Intel Xeon Platinum 8175,3.1,7500 GiB NVMe SSD,Up to 25 Gigabit,3500,437.5,TRUE,TRUE,0.924,0
I3EN 6xlarge,i3en.6xlarge,192,24,2.712,2.712,8.7,0,None,0,Intel Xeon Platinum 8175,3.1,15000 GiB (2 * 7500 GiB NVMe SSD),25 Gigabit,3500,437.5,TRUE,TRUE,1.847,0
I3EN Large,i3en.large,16,2,0.226,0.226,0.75,0,None,0,Intel Xeon Platinum 8175,3.1,1250 GiB NVMe SSD,Up to 25 Gigabit,3500,437.5,TRUE,TRUE,0.154,0
I3EN Extra Large,i3en.xlarge,32,4,0.452,0.452,1.45,0,None,0,Intel Xeon Platinum 8175,3.1,2500 GiB NVMe SSD,Up to 25 Gigabit,3500,437.5,TRUE,TRUE,0.308,0
M4 General Purpose Deca Extra Large,m4.10xlarge,160,40,2,2,8,0,None,0,Intel Xeon E5-2676 v3 (Haswell),2.4,EBS only,10 Gigabit,4000,500,FALSE,TRUE,1.239,0
M4 General Purpose 16xlarge,m4.16xlarge,256,64,3.2,3.2,12,0,None,0,Intel Xeon E5-2686 v4 (Broadwell),2.3,EBS only,20 Gigabit,10000,1250,FALSE,TRUE,1.9824,0
M4 General Purpose Double Extra Large,m4.2xlarge,32,8,0.4,0.4,1.5,0,None,0,Intel Xeon E5-2676 v3 (Haswell),2.4,EBS only,High,1000,125,FALSE,TRUE,0.2478,0
M4 General Purpose Quadruple Extra Large,m4.4xlarge,64,16,0.8,0.8,3,0,None,0,Intel Xeon E5-2676 v3 (Haswell),2.4,EBS only,High,2000,250,FALSE,TRUE,0.4956,0
M4 General Purpose Large,m4.large,8,2,0.1,0.1,0.4,0,None,0,Intel Xeon E5-2676 v3 (Haswell),2.4,EBS only,Moderate,450,56.25,FALSE,TRUE,0.062,0
M4 General Purpose Extra Large,m4.xlarge,16,4,0.2,0.2,0.75,0,None,0,Intel Xeon E5-2676 v3 (Haswell),2.4,EBS only,High,750,93.75,FALSE,TRUE,0.1239,0
M5 General Purpose 12xlarge,m5.12xlarge,192,48,2.304,2.304,8.23,0,None,0,Intel Xeon Platinum 8175,2.5,EBS only,10 Gigabit,7000,875,TRUE,TRUE,1.472,0
M5 General Purpose 16xlarge,m5.16xlarge,256,64,3.072,3.072,10.96,0,None,0,Intel Xeon Platinum 8175,2.5,EBS only,20 Gigabit,10000,1250,TRUE,TRUE,1.963,0
M5 General Purpose 24xlarge,m5.24xlarge,384,96,4.608,4.608,16.46,0,None,0,Intel Xeon Platinum 8175,2.5,EBS only,25 Gigabit,14000,1750,TRUE,TRUE,2.944,0
M5 General Purpose Double Extra Large,m5.2xlarge,32,8,0.384,0.384,1.37,0,None,0,Intel Xeon Platinum 8175,2.5,EBS only,Up to 10 Gigabit,3500,437.5,TRUE,TRUE,0.245,0
M5 General Purpose Quadruple Extra Large,m5.4xlarge,64,16,0.768,0.768,2.74,0,None,0,Intel Xeon Platinum 8175,2.5,EBS only,Up to 10 Gigabit,3500,437.5,TRUE,TRUE,0.491,0
M5 General Purpose Eight Extra Large,m5.8xlarge,128,32,1.536,1.536,5.48,0,None,0,Intel Xeon Platinum 8175,2.5,EBS only,10 Gigabit,5000,625,TRUE,TRUE,0.981,0
M5 General Purpose Large,m5.large,8,2,0.096,0.096,0.35,0,None,0,Intel Xeon Platinum 8175,2.5,EBS only,Up to 10 Gigabit,3500,437.5,TRUE,TRUE,0.061,0
M5 General Purpose Extra Large,m5.xlarge,16,4,0.192,0.192,0.69,0,None,0,Intel Xeon Platinum 8175,2.5,EBS only,Up to 10 Gigabit,3500,437.5,TRUE,TRUE,0.123,0
M5A 12xlarge,m5a.12xlarge,192,48,2.064,2.064,7.37,0,None,0,AMD EPYC 7571,2.5,EBS only,10 Gigabit,5000,625,TRUE,TRUE,1.313,0
M5A 16xlarge,m5a.16xlarge,256,64,2.752,2.752,9.83,0,None,0,AMD EPYC 7571,2.5,EBS only,12 Gigabit,7000,875,TRUE,TRUE,1.751,0
M5A Double Extra Large,m5a.2xlarge,32,8,0.344,0.344,1.23,0,None,0,AMD EPYC 7571,2.5,EBS only,Up to 10 Gigabit,2120,265,TRUE,TRUE,0.219,0
M5A Quadruple Extra Large,m5a.4xlarge,64,16,0.688,0.688,2.46,0,None,0,AMD EPYC 7571,2.5,EBS only,Up to 10 Gigabit,2120,265,TRUE,TRUE,0.438,0
M5A Eight Extra Large,m5a.8xlarge,128,32,1.376,1.376,4.91,0,None,0,AMD EPYC 7571,2.5,EBS only,Up to 10 Gigabit,3500,437.5,TRUE,TRUE,0.876,0
M5A Large,m5a.large,8,2,0.086,0.086,0.31,0,None,0,AMD EPYC 7571,2.5,EBS only,Up to 10 Gigabit,2120,265,TRUE,TRUE,0.055,0
M5A Extra Large,m5a.xlarge,16,4,0.172,0.172,0.61,0,None,0,AMD EPYC 7571,2.5,EBS only,Up to 10 Gigabit,2120,265,TRUE,TRUE,0.109,0
M5 General Purpose 12xlarge,m5d.12xlarge,192,48,2.712,2.712,8.23,0,None,0,Intel Xeon Platinum 8175,2.5,1800 GiB (2 * 900 GiB NVMe SSD),10 Gigabit,7000,875,TRUE,TRUE,1.727,0
M5 General Purpose 16xlarge,m5d.16xlarge,256,64,3.616,3.616,10.96,0,None,0,Intel Xeon Platinum 8175,2.5,2400 GiB (4 * 600 GiB NVMe SSD),20 Gigabit,10000,1250,TRUE,TRUE,2.302,0
M5 General Purpose 24xlarge,m5d.24xlarge,384,96,5.424,5.424,16.46,0,None,0,Intel Xeon Platinum 8175,2.5,3600 GiB (4 * 900 GiB NVMe SSD),25 Gigabit,14000,1750,TRUE,TRUE,3.454,0
M5 General Purpose Double Extra Large,m5d.2xlarge,32,8,0.452,0.452,1.37,0,None,0,Intel Xeon Platinum 8175,2.5,300 GiB NVMe SSD,Up to 10 Gigabit,3500,437.5,TRUE,TRUE,0.288,0
M5 General Purpose Quadruple Extra Large,m5d.4xlarge,64,16,0.904,0.904,2.74,0,None,0,Intel Xeon Platinum 8175,2.5,600 GiB (2 * 300 GiB NVMe SSD),Up to 10 Gigabit,3500,437.5,TRUE,TRUE,0.576,0
M5 General Purpose Eight Extra Large,m5d.8xlarge,128,32,1.808,1.808,5.48,0,None,0,Intel Xeon Platinum 8175,2.5,1200 GiB (2 * 600 GiB NVMe SSD),10 Gigabit,5000,625,TRUE,TRUE,1.151,0
M5 General Purpose Large,m5d.large,8,2,0.113,0.113,0.34,0,None,0,Intel Xeon Platinum 8175,2.5,75 GiB NVMe SSD,Up to 10 Gigabit,3500,437.5,TRUE,TRUE,0.072,0
M5 General Purpose Extra Large,m5d.xlarge,16,4,0.226,0.226,0.69,0,None,0,Intel Xeon Platinum 8175,2.5,150 GiB NVMe SSD,Up to 10 Gigabit,3500,437.5,TRUE,TRUE,0.144,0
General Purpose GPU 16xlarge,p2.16xlarge,768,64,14.4,14.4,19.52,16,NVIDIA Tesla K80,192,Intel Xeon E5-2686 v4 (Broadwell),2.3,EBS only,20 Gigabit,10000,1250,FALSE,TRUE,9.828,0
General Purpose GPU Eight Extra Large,p2.8xlarge,488,32,7.2,7.2,9.76,8,NVIDIA Tesla K80,96,Intel Xeon E5-2686 v4 (Broadwell),2.3,EBS only,10 Gigabit,5000,625,FALSE,TRUE,4.914,0
General Purpose GPU Extra Large,p2.xlarge,61,4,0.9,0.9,1.22,1,NVIDIA Tesla K80,12,Intel Xeon E5-2686 v4 (Broadwell),2.3,EBS only,High,750,93.75,FALSE,TRUE,0.614,0
P3 16xlarge,p3.16xlarge,488,64,24.48,24.48,33.2,8,NVIDIA Tesla V100,128,Intel Xeon E5-2686 v4 (Broadwell),2.3,EBS only,25 Gigabit,14000,1750,FALSE,TRUE,16.708,0
P3 Double Extra Large,p3.2xlarge,61,8,3.06,3.06,4.15,1,NVIDIA Tesla V100,16,Intel Xeon E5-2686 v4 (Broadwell),2.3,EBS only,Up to 10 Gigabit,1750,218,FALSE,TRUE,2.088,0
P3 Eight Extra Large,p3.8xlarge,244,32,12.24,12.24,16.6,4,NVIDIA Tesla V100,64,Intel Xeon E5-2686 v4 (Broadwell),2.3,EBS only,10 Gigabit,7000,875,FALSE,TRUE,8.354,0
R3 High-Memory Double Extra Large,r3.2xlarge,61,8,0.665,0.665,2,0,None,0,Intel Xeon E5-2670 v2 (Ivy Bridge),2.5,160 GiB SSD,High,1000,125,FALSE,TRUE,0.418,0
R3 High-Memory Quadruple Extra Large,r3.4xlarge,122,16,1.33,1.33,4,0,None,0,Intel Xeon E5-2670 v2 (Ivy Bridge),2.5,320 GiB SSD,High,2000,250,FALSE,TRUE,0.836,0
R3 High-Memory Eight Extra Large,r3.8xlarge,244,32,2.66,2.66,8,0,None,0,Intel Xeon E5-2670 v2 (Ivy Bridge),2.5,640 GiB (2 * 320 GiB SSD),10 Gigabit,0,0,FALSE,TRUE,1.672,0
R3 High-Memory Extra Large,r3.xlarge,30.5,4,0.333,0.333,1,0,None,0,Intel Xeon E5-2670 v2 (Ivy Bridge),2.5,80 GiB SSD,Moderate,500,62.5,FALSE,TRUE,0.209,0
R4 High-Memory 16xlarge,r4.16xlarge,488,64,4.256,4.256,16,0,None,0,Intel Xeon E5-2686 v4 (Broadwell),2.3,EBS only,20 Gigabit,14000,1750,FALSE,TRUE,2.688,0
R4 High-Memory Double Extra Large,r4.2xlarge,61,8,0.532,0.532,2,0,None,0,Intel Xeon E5-2686 v4 (Broadwell),2.3,EBS only,Up to 10 Gigabit,1700,212.5,FALSE,TRUE,0.336,0
R4 High-Memory Quadruple Extra Large,r4.4xlarge,122,16,1.064,1.064,4,0,None,0,Intel Xeon E5-2686 v4 (Broadwell),2.3,EBS only,Up to 10 Gigabit,3500,437.5,FALSE,TRUE,0.672,0
R4 High-Memory Eight Extra Large,r4.8xlarge,244,32,2.128,2.128,8,0,None,0,Intel Xeon E5-2686 v4 (Broadwell),2.3,EBS only,10 Gigabit,7000,875,FALSE,TRUE,1.344,0
R4 High-Memory Extra Large,r4.xlarge,30.5,4,0.266,0.266,1,0,None,0,Intel Xeon E5-2686 v4 (Broadwell),2.3,EBS only,Up to 10 Gigabit,850,106.25,FALSE,TRUE,0.168,0
R5 12xlarge,r5.12xlarge,384,48,3.024,3.024,10.8,0,None,0,Intel Xeon Platinum 8175,0,EBS only,10 Gigabit,7000,875,TRUE,FALSE,1.905,0
R5 16xlarge,r5.16xlarge,512,64,4.032,4.032,14.4,0,None,0,Intel Xeon Platinum 8175,0,EBS only,20 Gigabit,10000,1250,TRUE,FALSE,2.54,0
R5 24xlarge,r5.24xlarge,768,96,6.048,6.048,21.6,0,None,0,Intel Xeon Platinum 8175,0,EBS only,25 Gigabit,14000,1750,TRUE,FALSE,3.81,0
R5 Double Extra Large,r5.2xlarge,64,8,0.504,0.504,1.8,0,None,0,Intel Xeon Platinum 8175,0,EBS only,10 Gigabit,3500,437.5,TRUE,FALSE,0.318,0
R5 Quadruple Extra Large,r5.4xlarge,128,16,1.008,1.008,3.6,0,None,0,Intel Xeon Platinum 8175,0,EBS only,10 Gigabit,3500,437.5,TRUE,FALSE,0.635,0
R5 Eight Extra Large,r5.8xlarge,256,32,2.016,2.016,7.2,0,None,0,Intel Xeon Platinum 8175,0,EBS only,10 Gigabit,5000,625,TRUE,FALSE,1.27,0
R5 Large,r5.large,16,2,0.126,0.126,0.45,0,None,0,Intel Xeon Platinum 8175,3.1,EBS only,10 Gigabit,3500,437.5,TRUE,FALSE,0.079,0
R5 Extra Large,r5.xlarge,32,4,0.252,0.252,0.9,0,None,0,Intel Xeon Platinum 8175,0,EBS only,10 Gigabit,3500,437.5,TRUE,FALSE,0.159,0
R5A 12xlarge,r5a.12xlarge,384,48,2.712,2.712,9.69,0,None,0,AMD EPYC 7571,2.5,EBS only,10 Gigabit,5000,625,TRUE,TRUE,1.711,0
R5A 16xlarge,r5a.16xlarge,512,64,3.616,3.616,12.91,0,None,0,AMD EPYC 7571,2.5,EBS only,12 Gigabit,7000,875,TRUE,TRUE,2.282,0
R5A 24xlarge,r5a.24xlarge,768,96,5.424,5.424,19.37,0,None,0,AMD EPYC 7571,2.5,EBS only,20 Gigabit,10000,1250,TRUE,TRUE,3.423,0
R5A Double Extra Large,r5a.2xlarge,64,8,0.452,0.452,1.61,0,None,0,AMD EPYC 7571,2.5,EBS only,10 Gigabit,2120,265,TRUE,TRUE,0.285,0
R5A Quadruple Extra Large,r5a.4xlarge,128,16,0.904,0.904,3.23,0,None,0,AMD EPYC 7571,2.5,EBS only,10 Gigabit,2120,265,TRUE,TRUE,0.57,0
R5A Eight Extra Large,r5a.8xlarge,256,32,1.808,1.808,6.46,0,None,0,AMD EPYC 7571,2.5,EBS only,Up to 10 Gigabit,3500,437.5,TRUE,TRUE,1.141,0
R5A Large,r5a.large,16,2,0.113,0.113,0.41,0,None,0,AMD EPYC 7571,2.5,EBS only,10 Gigabit,2120,265,TRUE,TRUE,0.071,0
R5A Extra Large,r5a.xlarge,32,4,0.226,0.226,0.81,0,None,0,AMD EPYC 7571,2.5,EBS only,10 Gigabit,2120,265,TRUE,TRUE,0.143,0
R5D 12xlarge,r5d.12xlarge,384,48,3.456,3.456,10.8,0,None,0,Intel Xeon Platinum 8175,0,1800 GiB (2 * 900 GiB NVMe SSD),10 Gigabit,7000,875,TRUE,FALSE,2.181,0
R5D 16xlarge,r5d.16xlarge,512,64,4.608,4.608,14.4,0,None,0,Intel Xeon Platinum 8175,0,2400 GiB (4 * 600 GiB NVMe SSD),20 Gigabit,10000,1250,TRUE,FALSE,2.908,0
R5D 24xlarge,r5d.24xlarge,768,96,6.912,6.912,21.6,0,None,0,Intel Xeon Platinum 8175,0,3600 GiB (4 * 900 GiB NVMe SSD),25 Gigabit,14000,1750,TRUE,FALSE,4.362,0
R5D Double Extra Large,r5d.2xlarge,64,8,0.576,0.576,1.8,0,None,0,Intel Xeon Platinum 8175,0,300 GiB NVMe SSD,10 Gigabit,3500,437.5,TRUE,FALSE,0.364,0
R5D Quadruple Extra Large,r5d.4xlarge,128,16,1.152,1.152,3.6,0,None,0,Intel Xeon Platinum 8175,0,600 GiB (2 * 300 GiB NVMe SSD),10 Gigabit,3500,437.5,TRUE,FALSE,0.727,0
R5D Eight Extra Large,r5d.8xlarge,256,32,2.304,2.304,7.2,0,None,0,Intel Xeon Platinum 8175,0,1200 GiB (2 * 600 GiB NVMe SSD),10 Gigabit,5000,625,TRUE,FALSE,1.454,0
R5D Large,r5d.large,16,2,0.144,0.144,0.45,0,None,0,Intel Xeon Platinum 8175,0,75 GiB NVMe SSD,10 Gigabit,3500,437.5,TRUE,FALSE,0.091,0
R5D Extra Large,r5d.xlarge,32,4,0.288,0.288,0.9,0,None,0,Intel Xeon Platinum 8175,0,150 GiB NVMe SSD,10 Gigabit,3500,437.5,TRUE,FALSE,0.182,0
Z1D 12xlarge,z1d.12xlarge,384,48,4.464,4.464,15.94,0,None,0,Intel Xeon Platinum 8151,0,1800 GiB (2 * 900 GiB NVMe SSD),25 Gigabit,14000,1750,TRUE,FALSE,2.822,0
Z1D Double Extra Large,z1d.2xlarge,64,8,0.744,0.744,2.66,0,None,0,Intel Xeon Platinum 8151,0,300 GiB NVMe SSD,Up to 10 Gigabit,2333,292,TRUE,FALSE,0.47,0
Z1D 3xlarge,z1d.3xlarge,96,12,1.116,1.116,3.99,0,None,0,Intel Xeon Platinum 8151,0,450 GiB NVMe SSD,Up to 10 Gigabit,3500,438,TRUE,FALSE,0.705,0
Z1D 6xlarge,z1d.6xlarge,192,24,2.232,2.232,7.97,0,None,0,Intel Xeon Platinum 8151,0,900 GiB NVMe SSD,10 Gigabit,7000,875,TRUE,FALSE,1.411,0
Z1D Large,z1d.large,16,2,0.186,0.186,0.66,0,None,0,Intel Xeon Platinum 8151,4,75 GiB NVMe SSD,Up to 10 Gigabit,2333,291,TRUE,FALSE,0.118,0
Z1D Extra Large,z1d.xlarge,32,4,0.372,0.372,1.33,0,None,0,Intel Xeon Platinum 8151,0,150 GiB NVMe SSD,Up to 10 Gigabit,2333,291,TRUE,FALSE,0.235,0
